name,required_age,is_free,game_id
All That Remains: Part 1,0,False,1
Paperball,0,False,2
Moderium,0,False,3
Pizza Time Explosion,0,False,4
Customer Cums First!,0,False,5
Chained: A Victorian Nightmare,0,False,6
Hentai Police,0,False,7
Colony Siege,0,False,8
Wolf and Pigs,0,False,9
Monster Girl Garden,0,False,10
Dogworld,0,False,11
Slave Girl Reno,0,False,12
Danger City,0,False,13
The Button Witch,0,False,14
Space Block Buster,0,False,15
Mr.King Luo!Don't be kidding,0,False,16
Summoner VR,0,False,17
COWBOY YAKUZA,0,False,18
Kawaii Girl,0,False,19
Rhythm Fighter,0,False,20
The Burning Descent,0,False,21
The Secret Order 8: Return to the Buried Kingdom,0,False,22
"Shoot, push, portals",0,False,23
Braverz,0,False,24
Wide Ocean Big Jacket,0,False,25
War Remains: Dan Carlin Presents an Immersive Memory,0,False,26
Christmas Stories: Enchanted Express Collector's Edition,0,False,27
The Christmas Spirit: Grimm Tales Collector's Edition,0,False,28
Westminster Darkly,0,False,29
The Legend of Heroes: Trails of Cold Steel IV,0,False,30
Fantasy Realm TD,0,False,31
Planet Modular TD,0,False,32
Ouction,0,False,33
Until We Die,0,False,34
Waifu Uncovered,0,False,35
Robin Hood: Country Heroes,0,False,36
Hermes: War of the Gods,0,False,37
Golden Rails: Tales of the Wild West,0,False,38
Lilly Knight and the Three Cities of Lust,0,False,39
Craftlands Workshoppe,0,False,40
The incredible friends,0,False,41
TAL: Wizard's Adventures,0,False,42
Tale of the Gallant Jiraiya,0,False,43
Mystic Pillars: A Story-Based Puzzle Game,0,False,44
FUNGI,0,True,45
Red Mercenary,0,False,46
Advancity,0,False,47
Em-A-Li,0,False,48
HentaiTeachers,0,False,49
Biba`s Adventures — Hardcore Platformer,0,False,50
Dead territory,0,False,51
Santa's Big Sack,0,False,52
The Santa Challenge,0,False,53
Suite 776,0,False,54
Flashover MegaSector,0,False,55
Robot Island,0,False,56
Groove Runner,0,False,57
Hentai Match Fantasy Stories,0,False,58
TaniNani,0,False,59
Puzzle Tower,0,False,60
Particulate,0,False,61
Vile Matter,0,False,62
Draft Day Sports: Pro Basketball 2020,0,False,63
Pussy Puzzle,0,False,64
ATROFIL: THE KEY,0,False,65
Automaton,0,False,66
Fairy Godmother Stories: Cinderella Collector's Edition,0,False,67
Mystery Case Files: Black Crown Collector's Edition,0,False,68
Potion Party,0,False,69
Stop Sign VR Tools,0,False,70
Party Arena: Board Game Battler,0,False,71
The Secret of Hutton Grammar School,0,False,72
Days Gone By,0,False,73
Suzunaan on Fire,0,False,74
The Pale City,0,False,75
Nexomon: Extinction,0,False,76
OctaFight,0,False,77
Dead Dreams,0,False,78
Solar Panic: Utter Distress,0,False,79
Noble Woman's Pastries,0,False,80
Space Simulation Toolkit,0,False,81
Top Run,0,False,82
British Gangsters,0,False,83
Gang District,0,False,84
KUMO The Little Robot,0,False,85
The Tawashi,0,False,86
Gamedev simulator,0,False,87
Alek - The Lost Kingdom,0,False,88
Dark Invasion VR,0,False,89
Ocean Drive Challenge Remastered,0,False,90
Monster Viator,0,False,91
零界战线,0,False,92
Darkness and Flame: Enemy in Reflection,0,False,93
Your little story: Winter,0,False,94
Re:Turn - One Way Trip,16,False,95
Trial of the Gods: Siralim CCG,0,False,96
Fight High,0,False,97
Last Year,0,False,98
Celestial,0,False,99
Tower of Shades,0,False,100
Guardians of the Ashes,0,False,101
Hippoboar Rancher ~かばいの牧場物語~,0,False,102
URG,0,False,103
Rebound Ball,0,False,104
Cursed Gem,0,True,105
Star Dynasties,0,False,106
Bronze Hoof,0,True,107
Knights of the Temple: Infernal Crusade,0,False,108
The Dark Pictures Anthology: Little Hope,18,False,109
ReFrame,0,False,110
Fairyfail,0,False,111
ZooKeeper Simulator,0,False,112
Creatry — Easy Game Maker & Game Builder App,0,False,113
House Flipper VR,0,False,114
No School No Rules,0,False,115
Kessler Effect,0,False,116
Master Bladesmith,0,False,117
Frog Fractions: Game of the Decade Edition,0,True,118
Trapped,0,False,119
Orange Cast: Sci-Fi Space Action Game,0,False,120
Musical Aim Trainer,0,False,121
Blind Justice,0,False,122
One-Eyed Lee and the Dinner Party,0,False,123
Foe Frenzy,0,False,124
Zombie Tag Royale,0,False,125
Volleyball Fever Flat,0,False,126
The Land of Crows,0,True,127
Jack-O-Lantern Covers of Darkness,0,False,128
Piece Of Mind,0,False,129
Tower Climb,0,False,130
UNHERD,0,False,131
Jeremiah,0,False,132
Ping Pong Space - Retro Tennis,0,False,133
Dashbot Ninja,0,False,134
Bomber Fox,0,False,135
K37-D,0,False,136
Hunt the Muglump,0,False,137
Axe Cop,0,False,138
Together - A Wish No One Remembers,0,False,139
Zelter,0,False,140
The Dis-United States Of America,0,False,141
Stripper Anya: Christmas Special,0,False,142
Bunny Sudoku,0,False,143
A Crooked Heart,0,False,144
Space Climber,0,False,145
Roast Party,0,False,146
Nyanco Dream,0,False,147
ANIME REDEMPTION,0,False,148
Hentai Mosaique Neko Waifus,0,False,149
ADULT SHERIFF,0,False,150
Woman's body: For adults 2,0,False,151
The Shenanigans of Cherry and Trix,0,False,152
Winter Snow | 冬雪,0,False,153
Nostalgiarian,0,False,154
Shoot Them,0,False,155
食用系少女：美食內戰 Food Girls：Civil War,0,False,156
TriangleStorm,0,False,157
Section Six,0,False,158
Labyrinths of the World: The Wild Side Collector's Edition,0,False,159
Royal Detective: The Last Charm Collector's Edition,0,False,160
KAWAII GIRLS PUZZLE,0,False,161
Invisible Enemy,0,False,162
Shuttle Commander,0,False,163
GraFi Christmas,0,False,164
Nexomon,0,False,165
End of War 1945,0,False,166
Memory,0,False,167
The World Is Ruled According to Sexual Prowess So I’m Playing Dirty to Get My Harem Episode 1,0,False,168
Spot The Differences 2020 | 大家来找茬 2020,0,False,169
Memody: Sindrel Song,0,False,170
Say No! More,0,False,171
Deathtrap Dungeon: The Interactive Video Adventure,0,False,172
Virus L,0,False,173
War Robots: Planet Defender,0,False,174
Seek Girl Ⅲ,0,False,175
12 Labours of Hercules X: Greed for Speed,0,False,176
Forgotten Ways,0,False,177
Spire of Sorcery (Limited Early Access),0,False,178
PixHunter,0,False,179
Defence War,0,False,180
Memory Match Saga,0,False,181
Tales of the Deck,0,False,182
DooM in the Dark 2,0,False,183
Ghetto Conspiracy,0,False,184
Booobjz,0,False,185
Defend Them !,0,False,186
ScribbleDude,0,False,187
Hoarding Simulator,0,False,188
Yuki Onna | 雪女,0,False,189
Hentai Waifu,0,False,190
LIT: Bend the Light,0,False,191
Arrow,0,True,192
Dancing Arrow : Beat Smash,0,False,193
Race Race Racer,0,False,194
The Wonderful 101: Remastered,0,False,195
Crazy city,0,False,196
DEATH STRANDING,0,False,197
Heebie Jeebies: The Roller Coaster,0,False,198
Scriptum VR: The Neighbor's House Escape Room,0,False,199
Juken Jigoku | 受験地獄,0,False,200
WinTweaker,0,False,201
Wallachia: Reign of Dracula,0,False,202
Bleeding Edge,0,False,203
The Last Deathbound,0,False,204
H-SNIPER: Middle East,0,False,205
Good doktor,0,False,206
Door in the Woods,0,False,207
Art of Beauties,0,False,208
Beat Or Die The MiniGames,0,False,209
VenusBlood FRONTIER International,0,False,210
ClickCells: Office Lady,0,False,211
Street Hoop,0,False,212
Path Of Wuxia,0,False,213
Post Scriptum CTG: Collectible Token Game,0,True,214
JEF,0,False,215
In the Service of Mrs. Claus,0,False,216
Ether Loop,0,False,217
WREST,0,False,218
LOGA: Unexpected Adventure,0,False,219
Smart Girl : Christmas,0,False,220
Hot And Lovely,0,False,221
Squirrel Legacy,0,False,222
Posibility,0,False,223
Moonlight Basket,0,False,224
Yuna and other troubles,0,False,225
"Deep, In the  Forest",0,False,226
Apex Aim Trainer,0,False,227
Classic Snake Adventures,0,False,228
Castle Commander,0,False,229
The Political Machine 2020,0,False,230
Speed Masters ASD,0,False,231
Bloodholic,0,False,232
Pulstario,0,False,233
My hot beach vacation,0,False,234
Cats are Liquid - A Better Place,0,False,235
Country Road VR,0,False,236
Ground Zero Texas - Nuclear Edition,0,False,237
GLOWCOMA: chapter 1,18,False,238
Creature Card Idle,0,False,239
Coffee Rush,0,False,240
